Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
12;1185272;2НДФЛ;Покупка недвижимости/ строительство;1;0.59;мужской;1;0;высшее;рабочий;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;1185292;Форма банка (без печати работодателя);Ремонт;0;0.31;женский;0;0;высшее;менеджер среднего звена;>250;0;60;41;Другое;ООО;холост / не замужем;3;1;1;0;0;0.0165289256;0;2;0;0;0.5;5;5;238;10;1;0;4;111;1;0;0;0;0;0;0
12;1185312;Поступление зарплаты на счет;Ремонт;0;0.49;мужской;0;0;высшее;специалист;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;1185332;2НДФЛ;Ремонт;1;0.59;мужской;0;0;высшее;менеджер среднего звена;>250;1;88;28;Торговля;ООО;женат / замужем;2;2;2;2;2;0.0681818182;0;0;0;0;0.6;3;2;41;5;2;0;22;97;1;0;0;0;0;0;0
12;1185352;2НДФЛ;Покупка недвижимости/ строительство;1;0.38;мужской;2;0;среднее;вспомогательный персонал;< 50;0;66;44;Торговля;Индивидуальный предприниматель;женат / замужем;0;0;0;0;0;0;0;0;0;0;0;0;1;17;1;0;0;33;33;0;0;0;0;0;0;0
12;1185372;2НДФЛ;Ремонт;0;0.32;женский;1;0;высшее;менеджер среднего звена;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;1185392;2НДФЛ;Ремонт;1;0.54;женский;1;0;среднее;рабочий;>250;3;74;47;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;1185412;Форма банка (без печати работодателя);Ремонт;0;0.07;женский;2;0;высшее;специалист;>=200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;1185432;Форма банка (без печати работодателя);Отпуск;1;0.35;мужской;2;0;среднее-специальное;рабочий;< 50;0;65;33;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;1185452;Форма банка (без печати работодателя);Ремонт;1;0.2;женский;1;0;высшее;специалист;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;1185472;2НДФЛ;Ремонт;0;0.46;мужской;1;0;среднее-специальное;рабочий;>250;0;70;29;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;1185492;Форма банка (без печати работодателя);Покупка автомобиля;0;0.38;мужской;2;0;второе высшее;менеджер высшего звена;< 50;0;36;43;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;1185512;Свободная форма с печатью работодателя;Ремонт;0;0.48;женский;1;0;высшее;менеджер среднего звена;< 50;3;28;40;Торговля;ООО;женат / замужем;0;0;0;0;0;0.0833333333;1;0;0;0;1;2;0;11;2;1;0;7;7;1;0;0;0;0;0;0
12;1185532;2НДФЛ;Покупка мебели;0;0.4;мужской;2;0;высшее;специалист;>250;3;34;33;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
